1,"Recitativo: “Che imbarazzo è mai questo!” (Conte, Contessa, Susanna)"
2,"No. 17 Duettino: “Crudel! Perché finora” (Conte, Susanna)"
3,"Recitativo: “E perché fosti meco” (Conte, Susanna, Figaro)"
4,No. 18 Recitativo ed aria: “Hai già vinta la causa!” (Conte)
5,“Vedrò mentr’io sospiro” (Conte)
6,"Recitativo: “È decise la lite” (Don Curzio, Marcellina, Figaro, Conte, Bartolo)"
7,"No. 19 Sestetto: “Riconosci in questo amplesso” (Marcellina, Figaro, Bartolo, Don Curzio, Conte, Susanna)"
8,"Recitativo: “Eccovi, o caro amico” (Marcellina, Bartolo, Susanna, Figaro)"
9,"Recitativo: “Andiamo, andiamo, bel paggio” (Barbarina, Cherubino)"
10,No. 20 Recitativo ed Aria: “E Susanna non vien!” (Contessa)
11,“Dove sono i bei momenti” (Contessa)
12,"Recitativo: “Io vi dico, signor” (Antonio, Conte)"
13,"Recitativo: “Cosa mi narri” (Contessa, Susanna)"
14,"No. 21 Duettino: “Sull’Aria”—“Che soave zeffiretto” (Susanna, Contessa)"
15,"Recitativo: “Piegato è il foglio” (Susanna, Contessa)"
16,"No. 22 Coro: “Ricevete, o padroncina” (Coro)"
17,"Recitativo: “Queste sono, madama le ragazze del loco” (Barbarina, Contessa, Susanna, A/ntonio, Conte, Cherubino, Figaro)"
18,"No. 23 Finale: “Ecco la marcia, andiamo” (Figaro, Susanna, Conte, Contessa, coro)"
19,"No. 24 Cavatina: “L’ho perduta, me meschina” (Barbarina)"
20,"Recitativo: “Barbarina, cos’hai?” (Figaro, Barbarina, Marcellina)"
21,No. 25 Aria: “Il capro e la capretto” (Marcellina)
22,"Recitativo: “Chi va là” (Figaro, Basilio, Bartolo)"
23,No. 26 Aria: “In quegl’anni in cui val poco” (Basilio)
24,No. 27 Recitativo ed aria: “Tutto è disposto” (Figaro)
25,“Aprite un po’ quegli occhi” (Figaro)
26,"Recitativo: “Madama, voi tremate” (Susanna, Contessa, Figaro)"
27,No. 28 Recitativo ed aria: “Giunse alfin il momento” (Susanna)
28,"“Deh vieni, non tardar” (Susanna)"
29,"Recitativo: “Perfida! E in quella forma meno menti?” (Figaro, Cherubino, Contessa)"
30,"No. 29 Finale: “Pian pianin le andrò più presso” (Cherubino, Contessa, Conte, Susanna, Figaro)"
31,"“Tutto è tranquillo e placido” (Figaro, Susanna, Conte)"
32,"“Gente, gente, all’armi, all’armi!” (Conte, Figaro, Don Curzio, Basilio, Antonio, Bartolo, Susanna, Barbarina, Cherubino, Marchellina, Contessa)"
33,“Closing Credits”
34,“BONUS: A Documentary by Sylvia Griss & Alexander Hellbrügge”
